Preço,Cidade,Bairro,Endereço,Numero,Dorms,Banheiros,Area,Vagas,Titulo
"R$ 480.000
                        
Preço abaixo do mercado





                  Condomínio:
                  
                      R$ 670",Caraguatatuba,Martim de Sa,Rua Guanandy,658,"2
              

                Quartos","1
              

                Banheiro","75
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 75m²"
"R$ 449.790
                    



                  Condomínio:
                  
                      R$ 1",Caraguatatuba,Cidade Jardim,Alameda dos Carvalhos,100,"2
              

                Quartos","3
              

                Banheiros","75
              

                m²","1
                

                  Vaga","Casa de condomínio com 2 Quartos à Venda, 75m²"
"R$ 530.000
                    



                  Condomínio:
                  
                      R$ 720",Caraguatatuba,Prainha,Rua Benedito Vicente Santos,450,"1
              

                Quarto","1
              

                Banheiro","65
              

                m²","1
                

                  Vaga","Apartamento com  Quarto à Venda, 65m²"
R$ 490.000,Caraguatatuba,Balneario Recanto do Sol,Rua Oscar Augusto Guelli,N/I,"2
              

                Quartos","2
              

                Banheiros","92
              

                m²","4
                

                  Vagas","Casa com 2 Quartos à Venda, 92m²"
R$ 525.000,Caraguatatuba,Balneário dos Golfinhos,Alameda Alfredo Carlos Rokita,34,"3
              

                Quartos","2
              

                Banheiros","108
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 108m²"
R$ 430.000,Caraguatatuba,Jardim Jaragua,Rua Santos,255,"3
              

                Quartos","1
              

                Banheiro","186
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 186m²"
R$ 680.000,Caraguatatuba,Jardim Das Gaivotas,Avenida Cardeal,123,"2
              

                Quartos","2
              

                Banheiros","162
              

                m²","10
                

                  Vagas","Casa com 2 Quartos à Venda, 162m²"
"R$ 745.000
                    



                  Condomínio:
                  
                      R$ 630",Caraguatatuba,Tabatinga,Rua Galdino Muniz,85,"2
              

                Quartos","2
              

                Banheiros","97
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 97m²"
R$ 680.000,Caraguatatuba,Martim de Sa,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","87
              

                m²","1
                

                  Vaga","Apartamento com 3 Quartos à Venda, 87m²"
"R$ 650.000
                    



                  Condomínio:
                  
                      R$ 590",Caraguatatuba,Sumaré,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","150
              

                m²","1
                

                  Vaga","Cobertura com 3 Quartos à Venda, 150m²"
"R$ 690.000
                    



                  Condomínio:
                  
                      R$ 150",Caraguatatuba,Praia Das Palmeiras,N/I,N/I,"2
              

                Quartos","3
              

                Banheiros","78
              

                m²","1
                

                  Vaga","Casa de condomínio com 2 Quartos à Venda, 78m²"
R$ 415.000,Caraguatatuba,Jardim Brasil,Alameda Cosme Rangel,615,"2
              

                Quartos","1
              

                Banheiro","65
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 65m²"
"R$ 510.000
                    



                  Condomínio:
                  
                      R$ 350",Caraguatatuba,Pontal de Santa Marina,Avenida dos Eder Silva Rodrigues Alves,1100,"2
              

                Quartos","3
              

                Banheiros","95
              

                m²","9
                

                  Vagas","Casa com 2 Quartos à Venda, 95m²"
R$ 495.000,Caraguatatuba,Capricórnio III,Rua Dois,40,"2
              

                Quartos","1
              

                Banheiro","97
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 97m²"
R$ 315.000,Caraguatatuba,Cidade Jardim,Alameda dos Ciprestes,275,"--
              

                Quarto","--
              

                Banheiro","360
              

                m²","--
                

                  Vaga","Lote/Terreno    à Venda, 360m²"
R$ 400.000,Caraguatatuba,Pontal de Santa Marina,Avenida dos Eder Silva Rodrigues Alves,34,"2
              

                Quartos","3
              

                Banheiros","66
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 66m²"
R$ 335.000,Caraguatatuba,Rio Do Ouro,Rua Benedito Miguel da Costa,N/I,"2
              

                Quartos","1
              

                Banheiro","85
              

                m²","4
                

                  Vagas","Casa com 2 Quartos à Venda, 85m²"
R$ 390.000,Caraguatatuba,Pontal de Santa Marina,Rua Sady Gomes de Almeida,133,"2
              

                Quartos","3
              

                Banheiros","74
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 74m²"
R$ 470.000,Caraguatatuba,Morro Do Algodao,Travessa Três da Rua São Domingos,35,"3
              

                Quartos","1
              

                Banheiro","80
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 80m²"
R$ 640.000,Caraguatatuba,Jardim Brasil,Alameda Antônio Luiz Gonçalves da Câmara Coutinho,N/I,"2
              

                Quartos","1
              

                Banheiro","137
              

                m²","6
                

                  Vagas","Casa com 2 Quartos à Venda, 137m²"
R$ 355.000,Caraguatatuba,Balneário dos Golfinhos,Alameda Alfredo Carlos Rokita,1388,"2
              

                Quartos","2
              

                Banheiros","64
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 64m²"
"R$ 380.000
                        
Preço abaixo do mercado",Caraguatatuba,Balneário dos Golfinhos,Alameda Alfredo Carlos Rokita,492,"2
              

                Quartos","2
              

                Banheiros","83
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 83m²"
"R$ 510.000
                    



                  Condomínio:
                  
                      R$ 380",Caraguatatuba,Pontal de Santa Marina,Rua Antônio Carlos Quental Simas,N/I,"2
              

                Quartos","3
              

                Banheiros","90
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 90m²"
"R$ 749.670
                    



                  Condomínio:
                  
                      R$ 690",Caraguatatuba,Tabatinga,Rua Galdino Muniz,100,"2
              

                Quartos","2
              

                Banheiros","97
              

                m²","1
                

                  Vaga","Apartamento com 2 Quartos à Venda, 97m²"
R$ 650.000,Caraguatatuba,Jardim Porto Novo,Rua Caixa Econômica,1111,"3
              

                Quartos","3
              

                Banheiros","64
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 64m²"
R$ 295.000,Caraguatatuba,Balneário dos Golfinhos,Avenida Domingos Martins Cabrera,N/I,"2
              

                Quartos","1
              

                Banheiro","64
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 64m²"
R$ 470.000,Caraguatatuba,Jardim Brasil,Alameda Francisco de Assis Rosa Silva,500,"2
              

                Quartos","1
              

                Banheiro","75
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 75m²"
R$ 600.000,Caraguatatuba,Indaiá,Avenida Mato Grosso,507,"2
              

                Quartos","3
              

                Banheiros","80
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 80m²"
R$ 600.000,Caraguatatuba,GOLFINHO,Rua Inácio Batista de Faria,593850,"3
              

                Quartos","3
              

                Banheiros","240
              

                m²","3
                

                  Vagas","Casa com 3 Quartos à Venda, 240m²"
R$ 415.000,Caraguatatuba,Porto Novo,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","65
              

                m²","1
                

                  Vaga","Casa com 2 Quartos à Venda, 65m²"
R$ 390.000,Caraguatatuba,Balneário dos Golfinhos,N/I,N/I,"2
              

                Quartos","2
              

                Banheiros","65
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 65m²"
"R$ 685.000
                        
Preço abaixo do mercado",Caraguatatuba,Jardim California,N/I,N/I,"3
              

                Quartos","3
              

                Banheiros","286
              

                m²","3
                

                  Vagas","Casa com 3 Quartos à Venda, 286m²"
